Root name,Tags
B cell,"B cell, adaptive, adaptive immunity, antibody, cell, humoral, immune cell, immunology, leukocyte, lymphocyte, antigen presenting cell, white blood cell, APC"
Plasmablast,"B cell, adaptive, adaptive immunity, antibody secretion, cell, differentiation, immune cell, immunology, leukocyte, lymphocyte, plasmablast"
Plasma cell (2D),"2D, B cell, adaptive, antibody, cell, immunology, leukocyte, lymphocyte, plasma cell, schematic, secretion"
Plasma cell,"B cell, adaptive, adaptive immunity, antibody, cell, immune cell, immunology, leukocyte, lymphocyte, plasma cell, secretion"
B cell (2D),"2D, B cell, adaptive, adaptive immunity, antibody, cell, immune cell, immunology, leukocyte, lymphocyte, antigen presenting cell, APC"
Microglia,"microglia, CNS, brain, cell, glia, immune cell, innate, leukocyte, macrophage, neuroinflammation, phagocyte, central nervous system"
Microglia (2D),"2D,microglia, CNS, brain, cell, glia, immune cell, innate, leukocyte, neuroinflammation, central nervous system"
Microglia (immature),"microglia, immature, CNS, brain, cell, glia, immune cell, innate, leukocyte, macrophage, neurodevelopment, central nervous system"
Natural killer cell,"NK cell, natural killer, antiviral, cell, cytotoxic, defense, immune cell, immunology, innate, innate immunity, leukocyte, lymphocyte"
Natural killer cell (2D),"2D, NK cell, natural killer, cell, cytotoxic, immune cell, immunology leukocyte, innate, innate immunity, lymphocyte"
Basophil,"basophil, cell, granulocyte, histamine, immune cell, immunology, inflammation, innate, innate immunity, leukocyte, allergy"
Basophil (2D),"2D, basophil, cell, granulocyte, histamine, immune cell, inflammation, innate, innate immunity, leukocyte, allergy"
Eosinophil,"eosinophil, cell, granulocyte, immune cell, immunology, inflammation, innate, innate immunity, leukocyte, parasite defense, allergy"
Eosinophil (2D),"2D, eosinophil, cell, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, parasite defense, allergy"
Apoptotic cell 1,"apoptosis, apoptotic cell, caspase, cell, cell death, debris, dying cell, immune clearance"
Apoptotic cell 2,"apoptosis, apoptotic cell, caspase, cell, cell death, clearance, debris, dying cell, immune response, immune response"
Brain,"brain, healthy, CNS, anatomy, human, nervous system, neuron, neuroscience, organ"
Heart,"heart, healthy anatomy, cardiology, cardiovascular, circulation, human, muscle, organ"
Human arm,"arm, human, anatomy, biology, body, illustration, limb, skeletal muscle"
Human leg,"leg, human, limb, anatomy, biology, body, human, foot, skeletal muscle"
Human (outline),"human outline, human, man, woman, anatomy, biology, body, human, illustration, organ system, outline, schematic"
Intestine,"intestine, gut, small, large, healthy, GI tract, absorption, anatomy, digestive system, gut, human, intestine, organ"
Kidney,"kidney, anatomy, filtration, human, nephron, organ, renal, urinary system"
Liver,"liver, healthy, anatomy, biology, detoxification, hepatocyte, human, metabolism, organ"
Lung,"lung, healthy, alveoli, anatomy, biology, gas exchange, human, organ, respiratory system"
Lymph node (vascularised),"lymph node, vascularised, blood, vessels, anatomy, drainage, immune organ, immunology, lymphatic system, lymphocyte, lymphoid, organ"
Lymph node,"lymph node, B cell, T cell, anatomy, immune organ, immunology, lymph node, lymphatic system, lymphocyte, lymphoid, organ"
Spleen,"spleen, lymphoid, organ, anatomy, blood filter, immune organ, immunology, lymphocyte, lymphoid, red pulp"
Pipette,"pipette, gilson, equipment, experiment, lab, tool, laboratory, liquid handling, research, biology"
Microscope,"microscope, microscopy, imaging, tool, laboratory, observation, research, science, biology, confocal, light"
Petri dish,"petri dish, dish, biology, cells, culture, experiment, lab tool, microbiology, research"
Mouse,"mouse, model, rat, animal, lab, labiology, genetics, immunology, laboratory, mammal, model organism, research"
Fish,"animal, model, biology, development, fish, laboratory, model organism, research, vertebrate, zebrafish"
Mosquito (superior),"lab, blood, disease, entomology, insect, malaria, mosquito, parasite, vector, animal, testing"
Mosquito,"lab, blood, disease, entomology, insect, malaria, mosquito, parasite, vector, animal, testing"
Neuron (2D),"2D, CNS, axon, brain, nerve cell, neurobiology, neuron, schematic"
Neuron,"neuron, CNS, healthy, axon, brain, cell, nerve cell, neurobiology, synapse, dementia, central nervous system, cholinergic, naked"
Neuron (degrading),"degrading, neuron, CNS, alzheimer, alzheimer's, parkinson, parkinson's, degradation, cholinergic, apoptosis, axon, brain, degeneration, dementia, inflammation, nerve cell, neurodegeneration, neuroinflammation, apoptosis"
"Neuron (degrading, 2D)","2D, degrading, neuron, CNS, alzheimer, alzheimer's, apoptosis, axon, brain, dementia, neurodegeneration, neuron, parkinson, parkinson's, dementia, central nervous system, apoptosis"
"Neuron (sheathed, 2D)","2D, neuron, myelinated, CNS, healthy,  myelin sheath, axon, brain, cell, nerve cell, neurobiology, synapse, dementia, central nervous system, cholinergic, glia, nerve, neurobiology"
Neuron (sheathed),"neuron, myelinated, CNS, healthy,  myelin sheath, axon, brain, cell, nerve cell, neurobiology, synapse, dementia, central nervous system, cholinergic, glia, nerve, neurobiology"
Fibroblast,"ECM, biology, cell, collagen, connective tissue, fibroblast, tissue, wound healing, matrix"
Fibroblast (2D),"2D, ECM, biology, cell, connective tissue, fibroblast, schematic, tissue, matrix"
Fibroblast (activated),"ECM, activated, biology, cell, fibroblast, fibrosis, myofibroblast, tissue repair, wound healing, matrix"
"Fibroblast (activated, 2D)","2D, ECM, activated, cell, fibroblast, myofibroblast, schematic, tissue repair, wound healing, matrix"
Platelets,"platelet, platelets, thrombocyte, thrombocytes, blood, cell, cell fragment, clotting, coagulation, hematology, hemostasis"
Platelets (2D),"2D, platelet, platelets, thrombocyte, thrombocytes, blood, clotting, coagulation, hemostasis, schematic, cell fragment"
Red blood cell (lateral),"biconcave, blood, cell, circulation, erythrocyte, hematology, oxygen, red blood cell, transport"
"Red blood cell (lateral, 2D)","2D, biconcave, blood, cell, erythrocyte, hematology, oxygen, red blood cell, schematic"
Red blood cell (superior),"blood, cell, circulation, erythrocyte, hematology, oxygen, red blood cell, top view, transport"
"Red blood cell (superior, 2D)","2D, blood, cell, erythrocyte, hematology, oxygen, red blood cell, schematic, transport"
Red blood cell (bursting),"blood, bursting, cell, damage, erythrocyte, hematology, hemolysis, lysis, red blood cell, infected, malaria, infection"
"Red blood cell (bursting, 2D)","2D, blood, cell, erythrocyte, hematology, hemolysis, lysis, red blood cell, schematic, infected, malaria, infection"
"Collagen fibres (dense, 2D)","2D, ECM, biology, collagen, connective tissue, dense, protein, structure, matrix, extracellular"
Collagen fibres (2D),"2D, ECM, biology, collagen, connective tissue, protein, schematic, structure, matrix, extracellular"
Collagen fibres (dense),"ECM, biology, collagen, connective tissue, dense, protein, structure, tissue, matrix, extracellular"
Collagen fibres,"ECM, biology, collagen, connective tissue, fiber, protein, structure, tissue, matrix, extracellular"
DNA (long),"DNA, long strand, double helix, genetic material, nucleotide, genome, gene, molecular biology, nucleic acid, biology, structure"
DNA (short),"DNA, short strand, double helix, genetic material, nucleotide, gene fragment, molecular biology, nucleic acid, biology, structure"
RNA (short),"RNA, short strand, single stranded, messenger RNA, mRNA, nucleotide, gene expression, transcription, molecular biology, nucleic acid"
RNA (long),"RNA, long strand, single stranded, messenger RNA, mRNA, nucleotide, gene expression, transcription, molecular biology, nucleic acid"
Brain (healthy),"brain, healthy, CNS, central nervous system, neuron, anatomy, neuroscience, organ, biology, human"
Brain (degeneration),"brain, degeneration, neurodegeneration, CNS, central nervous system, neuron loss, alzheimer, parkinson, disease, neuroscience, pathology"
Neuron (demyelination),"neuron, demyelination, myelin loss, CNS, axon, multiple sclerosis, neurodegeneration, nerve cell, neuroinflammation, central nervous system, pathology"
Neuron (attacked),"neuron, immune attack, neuroinflammation, CNS, nerve cell, cytotoxicity, inflammation, neurodegeneration, cell damage, central nervous system, pathology"
Neuron (amyloid plaques),"neuron, amyloid plaques, alzheimer, beta amyloid, neurodegeneration, CNS, brain, dementia, pathology, neurobiology, disease"
Cancer cell,"cancer cell, tumor cell, uncontrolled proliferation, cell division, oncology, mutation, malignant, cell, biology, disease, pathology"
"1\.5ml tube (empty, open)","eppendorf, tube, 1.5 ml, empty, microcentrifuge tube, open, lab, laboratory, plasticware, container, sample preparation, biology, research, equipment"
1\.5ml tube (empty),"eppendorf, tube, 1.5 ml, empty, microcentrifuge tube, closed, lab, laboratory, plasticware, container, sample handling, biology, research, equipment"
1\.5ml tube (sample),"eppendorf, tube, 1.5 ml, microcentrifuge tube, sample, lab, laboratory, plasticware, container, sample handling, biology, research, equipment"
5ml tube (empty),"tube, 5 ml, flow cytometry, empty, lab, laboratory, plasticware, container, sample preparation, biology, research, equipment"
5ml tube (sample),"tube, 5 ml, flow cytometry, sample, lab, laboratory, plasticware, container, sample preparation, biology, research, equipment"
6-well plate (empty),"6 well plate, empty, cell culture, plate, lab, laboratory, plasticware, culture plate, biology, research, experiment"
6-well plate (sample),"6 well plate, sample, cell culture, plate, lab, laboratory, assay, biology, research, experiment"
"6-well plate (superior view, empty)","6 well plate, top view, empty, cell culture, plate, lab, laboratory, plasticware, biology, research, schematic"
"6-well plate (superior view, sample)","6 well plate, top view, sample, cell culture, plate, lab, laboratory, assay, biology, research, schematic"
15ml tube (sample),"tube, falcon, 15 ml, empty, conical tube, lab, laboratory, plasticware, container, sample preparation, biology, research, equipment"
15ml tube (empty),"tube, falcon, 15 ml, sample, conical tube, lab, laboratory, sample storage, liquid, biology, research, experiment"
24-well plate (empty),"24 well plate, empty, cell culture, plate, lab, laboratory, plasticware, culture plate, biology, research, experiment"
24-well plate (sample),"24 well plate, sample, cell culture, plate, lab, laboratory, assay, biology, research, experiment"
"24-well plate (superior view, empty)","24 well plate, top view, empty, cell culture, plate, lab, laboratory, plasticware, biology, research, schematic"
"24-well plate (superior view, sample)","24 well plate, top view, sample, cell culture, plate, lab, laboratory, assay, biology, research, schematic"
50ml tube (sample),"tube, falcon, 50 ml, empty, conical tube, falcon tube, lab, laboratory, plasticware, container, biology, research, equipment"
50ml tube (empty),"tube, falcon, 50 ml, sample, conical tube, falcon tube, lab, laboratory, sample storage, liquid, biology, research"
96-well plate (empty),"96 well plate, empty, cell culture, plate, assay plate, lab, laboratory, plasticware, biology, research, experiment"
96-well plate (sample),"96 well plate, sample, cell culture, plate, assay, lab, laboratory, biology, research, experiment"
"96-well plate (superior view, empty)","96 well plate, top view, empty, cell culture, plate, lab, laboratory, plasticware, biology, research, schematic"
"96-well plate (superior view, sample)","96 well plate, top view, sample, cell culture, plate, assay, lab, laboratory, biology, research, schematic"
384-well plate (empty),"384 well plate, empty, high throughput, assay plate, qPCR, qRT-PCR, RT PCR, cell culture, plate, lab, laboratory, screening, biology, research,"
384-well plate (sample),"384 well plate, sample, high throughput,  qPCR, qRT-PCR, RT PCR, cell culture,  assay, plate, lab, laboratory, screening, biology, research"
Cryotube (sample),"cyotube, cryotube, sample, cryovial, freezing, storage, lab, laboratory, liquid nitrogen, biology, research, biobanking, frozen sample, plasma, blood"
T75 flask (sample),"T75 flask, cell culture, flask, sample, lab, laboratory, adherent cells, biology, research, culture vessel"
T175 flask (sample),"T175 flask, cell culture, flask, sample, lab, laboratory, adherent cells, biology, research, culture vessel"
Toll-like receptor (dimer),"TLR, toll-like receptor, receptor pair, dimer, pattern recognition receptor, PRR, innate immunity, pathogen recognition, immune receptor, signaling, membrane receptor, immunology"
Toll-like receptor,"TLR, toll-like receptor, pattern recognition receptor, PRR, innate immunity, pathogen recognition, immune receptor, signaling, membrane receptor, immunology"
Cell membrane (circluar),"cell membrane, membrane, circular, lipid bilayer, plasma membrane, cell boundary, phospholipid, biology, structure, schematic"
Cell membrane (half),"cell membrane, membrane, half, lipid bilayer, plasma membrane, cross section, phospholipid, biology, structure, schematic"
Cell membrane (flat),"cell membrane, membrane, flat, lipid bilayer, plasma membrane, phospholipid, straight, biology, structure, schematic"
MHC class I,"MHC class I, antigen presentation, HLA I, HLA-A, HLA-B, HLA-C, HLA A, HLA B, HLA C, CD8 T cell, cytotoxic T cell, immune recognition, peptide presentation, cell surface, immunology, adaptive immunity"
MHC class II,"MHC class II, antigen presentation, HLA II, HLA-DR, HLA-DQ, HLA-DP, DR, DP, DQ, CD4 T cell, helper T cell, antigen presenting cell, APC, immune recognition, peptide presentation, immunology, adaptive immunity"
B cell receptor (IgM),"B cell receptor, BCR, IgM, immunoglobulin M, antigen recognition, B cell, adaptive immunity, membrane bound antibody, immune receptor, signaling, immunology"
Immune receptor (CD80)," CD80, costimulatory molecule, B7-1, antigen presenting cell, APC, immune activation, T cell activation, adaptive immunity, immune synapse, immunology, cell surface protein, costimulation, CD28 ligand, dendritic cell, B cell, macrophage"
Immune receptor (CD86),"CD86, costimulatory molecule, B7-2, antigen presenting cell, APC, immune activation, T cell activation, adaptive immunity, immune synapse, immunology, cell surface protein, costimulation, CD28 ligand, dendritic cell, B cell, macrophage"
Immune receptor (CD40),"CD40, costimulatory receptor, TNF receptor family, antigen presenting cell, APC, immune activation, T cell help, adaptive immunity, immunology, cell surface receptor, B cell activation, dendritic cell, macrophage, CD40 ligand interaction, immune signaling"
Immune receptor (PD-1),"PD-1, PDCD1, inhibitory receptor, immune checkpoint, T cell exhaustion, immune regulation, adaptive immunity, immunology, cell surface receptor, inhibitory signaling, PD-L1 interaction, tumor immunity, T cell regulation"
Immune receptor (PD-L1),"PD-L1 pd-l1, PD-L1, CD274, immune checkpoint ligand, inhibitory ligand, immune evasion, tumor immune escape, immune regulation, adaptive immunity, immunology, cell surface protein, PD-1 interaction, cancer immunology, checkpoint inhibition, recep"
Immune receptor,"CD28, CTLA4, ICOS, ctla-4, ICOS, immune receptor, costimulatory receptor, inhibitory receptor, receptor, T cell receptor family, adaptive immunity, T cell activation, immune checkpoint, immunology, cell surface receptor, co-stimulation, immune regulation, CD80 ligand, CD86 ligand"
Immune co-receptor,"CD3, CD3a, CD3b, CD3e, CD3g, CD3d, Iga, Igb, CD3 complex, co-receptor, coreceptor, T cell receptor complex, TCR signaling, receptor,  immune signaling, T cell activation, adaptive immunity, immunology, signal transduction, immunoreceptor complex"
Immune receptor (other),"immune receptor, costimulatory receptor, inhibitory receptor, receptor, T cell receptor family, adaptive immunity, T cell activation, B cell receptor, immune checkpoint, immunology, cell surface receptor, co-stimulation, immune regulation, CD80 ligand, CD86 ligand"
T cell receptor complex,"T cell receptor, TCR, alpha beta TCR, gamma delta TCR, antigen receptor, adaptive immunity, T cell activation, peptide MHC recognition, immunology, cell surface receptor, immune synapse, antigen recognition, lymphocyte, CD3 complex, signal transduction"
C-type lectin,"C-type lectin, lectin receptor, CLR, carbohydrate recognition, pattern recognition receptor, PRR, innate immunity, pathogen recognition, glycan binding, immune receptor, signaling, immunology"
C-type lectins (dimer),"C-type lectin, lectin receptor, CLR, receptor pair, dimer, carbohydrate recognition, pattern recognition receptor, PRR, innate immunity, pathogen recognition, glycan binding, immune receptor, signaling, immunology"
G Protein–Coupled Receptors (2D),"G protein–coupled receptor, G protein coupled receptor, GPCR, 2D, 7 transmembrane receptor, 7TM, receptor, cell membrane receptor, schematic, signaling receptor, ligand binding, receptor activation, G protein signaling, signal transduction, membrane protein, receptor, immunology, pharmacology, cell signaling, diagram, pathway"
G Protein–Coupled Receptors (3D),"G protein–coupled receptor, G protein coupled receptor, GPCR, 3D, 7 transmembrane receptor, 7TM, receptor, cell membrane receptor, schematic, signaling receptor, ligand binding, receptor activation, G protein signaling, signal transduction, membrane protein, receptor, immunology, pharmacology, cell signaling, diagram, pathway"
Generic receptor (square),"receptor, cell membrane receptor, ligand receptor interaction, square, binding site, signaling receptor, schematic receptor, simplified model, abstract receptor, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, membrane protein, receptor-ligand binding, cell communication"
Generic receptor (triangle),"receptor, cell membrane receptor, ligand receptor interaction, triangle, binding site, signaling receptor, schematic receptor, simplified model, abstract receptor, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, membrane protein, receptor-ligand binding, cell communication"
Generic receptor (circle),"receptor, cell membrane receptor, ligand receptor interaction, circle, binding site, signaling receptor, schematic receptor, simplified model, abstract receptor, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, membrane protein, receptor-ligand binding, cell communication"
Generic ligand (square),"ligand, square, generic ligand, signaling molecule, receptor ligand, binding molecule, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, extracellular signal, hormone, cytokine, neurotransmitter, schematic ligand, simplified model, receptor binding"
Generic ligand (triangle),"ligand, triangle, generic ligand, signaling molecule, receptor ligand, binding molecule, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, extracellular signal, hormone, cytokine, neurotransmitter, schematic ligand, simplified model, receptor binding"
Generic ligand (circle),"ligand, circle, generic ligand, signaling molecule, receptor ligand, binding molecule, cell signaling, signal transduction, molecular interaction, pharmacology, immunology, extracellular signal, hormone, cytokine, neurotransmitter, schematic ligand, simplified model, receptor binding"
Interleukin receptor (Style 1),"interleukin receptor, IL receptor, cytokine receptor, immune receptor, cytokine signaling, interleukin, cytokine, JAK-STAT pathway, immune signaling, cell surface receptor, adaptive immunity, innate immunity, immunology, leukocyte, lymphocyte, hematopoietic receptor, inflammation, immune regulation, IL binding, cytokine binding, signal transduction"
Interleukin receptor (Style 2),"interleukin receptor, IL receptor, cytokine receptor, immune receptor, cytokine signaling, interleukin, cytokine, JAK-STAT pathway, immune signaling, cell surface receptor, adaptive immunity, innate immunity, immunology, leukocyte, lymphocyte, hematopoietic receptor, inflammation, immune regulation, IL binding, cytokine binding, signal transduction"
Integrin (activated),"integrin, activated integrin, high affinity state, cell adhesion, cell migration, leukocyte adhesion, extracellular matrix binding, ICAM binding, VCAM binding, immune cell trafficking, immunology, cell surface receptor, focal adhesion, inside-out signaling, cytoskeleton, adhesion molecule, leukocyte extravasation, activated state, integrin conformation"
Integrin (inactivated),"integrin, inactive integrin, low affinity state, cell adhesion, cell migration, leukocyte circulation, extracellular matrix, immune cell trafficking, immunology, cell surface receptor, adhesion molecule, resting state, bent conformation, inside-out signaling, cytoskeleton, leukocyte rolling, vascular circulation, integrin regulation"
Adhesion molecule (cadherin),"cadherin, adhesion molecule, cell-cell adhesion, calcium dependent adhesion, epithelial junctions, adherens junctions, tissue structure, cell adhesion, morphogenesis, developmental biology, immunology, cell surface protein, homophilic binding, tissue integrity, epithelial cells, beta catenin, cell signaling, junctional complex"
Adhesion molecule (L-selectin),"L-selectin, selectin, CD62L, adhesion molecule, CD62, leukocyte homing, lymphocyte trafficking, lymph node entry, endothelial binding, cell adhesion, immunology, leukocyte rolling, cell surface receptor, vascular adhesion, inflammation, immune cell migration, high endothelial venules, carbohydrate binding, immune surveillance"
Adhesion molecule (P-selectin),"P-selectin, CD62P, selectin, adhesion molecule, CD62, platelet activation, endothelial activation, leukocyte rolling, inflammation, cell adhesion, immunology, vascular adhesion, immune cell recruitment, hemostasis, endothelial cells, platelet granules, immune trafficking, carbohydrate binding, leukocyte extravasation"
Adhesion molecule (E-selectin),"E-selectin, CD62E, selectin, adhesion molecule, CD62, endothelial activation, inflammation, leukocyte rolling, immune cell recruitment, vascular adhesion, immunology, cell adhesion, cytokine induced expression, TNF alpha, IL-1 response, endothelial cells, leukocyte extravasation, carbohydrate binding, immune trafficking"
Cytokine,"cytokine, chemokine, interleukin, small molecule, secreting molecule, secretion, soluble, IL"
DNA (schematic),"DNA, schematic DNA, double helix, genetic material, nucleotide, base pairs, adenine thymine guanine cytosine, genome, genetics, molecular biology, nucleic acid, replication, transcription, cell biology, genetic information, chromosome, diagram"
RNA (schematic),"RNA, schematic RNA, single strand, messenger RNA, mRNA, transcription, gene expression, nucleotide, adenine uracil guanine cytosine, molecular biology, nucleic acid, translation, ribosome, cell biology, genetic information, diagram"
Intracellular signalling molecule (adaptor protein),"adaptor protein, intracellular signaling, signaling molecule, protein-protein interaction, scaffold adaptor, signal transduction, immunology, cell signaling, cytoplasmic protein, pathway integration, molecular interaction, docking protein, intracellular pathway, signaling cascade, adaptor function"
"Intracellular signalling molecule (alternative signalling pathway protein, reversed)","alternative signaling pathway, signaling molecule, intracellular signaling, protein, molecule, signal transduction, pathway variation, regulatory signaling, immunology, cell signaling, molecular interaction, signaling cascade, pathway direction, reversible signaling, intracellular protein"
Intracellular signalling molecule (alternative signalling pathway protein),"alternative signaling pathway, signaling molecule, intracellular signaling, protein, molecule, signal transduction, pathway variation, regulatory signaling, immunology, cell signaling, molecular interaction, signaling cascade, pathway direction, reversible signaling, intracellular protein"
Intracellular signalling molecule (amplifier protein),"amplifier protein, signal amplification, intracellular signaling, signaling cascade, signal transduction, immunology, cell signaling, pathway amplification, molecular signaling, protein, molecule, enzyme cascade, intracellular protein, signaling intensity, second messenger amplification"
Intracellular signalling molecule (anchoring protein),"anchoring protein, intracellular signaling, signaling molecule, localization, scaffold anchoring, cell signaling, signal transduction, protein, molecule, cytoplasmic protein, membrane association, immunology, spatial regulation, protein complex, intracellular pathway, signaling organization"
Intracellular signalling molecule (bifurcation protein),"bifurcation protein, signaling branch point, intracellular signaling, protein, molecule, pathway branching, signal transduction, cell signaling, molecular interaction, signaling network, divergence, intracellular protein, signaling cascade, pathway decision, immunology"
Intracellular signalling molecule (cytoskeletal protein) ,"cytoskeletal protein, intracellular signaling, actin, microtubules, intermediate filaments, cell structure, cell signaling, signal transduction, protein, molecule,, cell motility, intracellular protein, structural protein, cytoskeleton dynamics, molecular biology, immunology"
Intracellular signalling molecule (effector protein),"effector protein, intracellular signaling, downstream signaling, signal transduction, protein, molecule, cellular response, cell signaling, molecular pathway, intracellular protein, functional response, signaling cascade, gene expression response, immunology"
Intracellular signalling molecule (messenger protein),"messenger protein, intracellular signaling, second messenger, signal transduction, signaling cascade, protein, molecule,, cell signaling, molecular signaling, intracellular protein, pathway transmission, signaling relay, communication molecule, immunology"
Intracellular signalling molecule (metabolic enzyme),"metabolic enzyme, intracellular signaling, enzyme, metabolism, catalytic activity, signal transduction, protein, molecule, cell signaling, kinase, phosphatase,biochemical pathway, intracellular protein, metabolic regulation, enzyme activity, cellular metabolism, immunology"
Intracellular signalling molecule (modulator protein),"modulator protein, intracellular signaling, signal modulation, regulatory protein, signal transduction, protein, molecule, cell signaling, pathway regulation, intracellular protein, molecular interaction, signaling control, pathway tuning, immunology"
Intracellular signalling molecule (regulatory enzyme),"regulatory enzyme, kinase, phosphatase, intracellular signaling, enzyme regulation, enzyme, protein, molecule, signal transduction, phosphorylation, dephosphorylation,, immunology, cell signaling, intracellular protein, pathway control, enzymatic regulation"
Intracellular signalling molecule (relay protein),"relay protein, intracellular signaling, signal relay, protein, molecule, signal transduction, signaling cascade, immunology, cell signaling, pathway transmission, intracellular protein, molecular signaling, communication protein"
Intracellular signalling molecule (scaffolding protein),"scaffolding protein, intracellular signaling, scaffold protein, protein complex, signal transduction, protein, molecule, immunology, cell signaling, pathway organization, intracellular protein, molecular assembly, signaling platform"
Intracellular signalling molecule (small mediator protein),"small mediator protein, intracellular signaling, protein, molecule, ATP, ADP, Ca, calcium,  cAMP, IP3, inositol, DAG, hormone, hormones, mediator protein, signal transduction, molecular signaling, immunology, cell signaling, intracellular protein, pathway mediator, signaling molecule, communication protein"
Molecule (enzyme),"enzyme, molecule, catalytic protein, kinase, phosphatase, krebs, protein, molecule, biochemical reaction, metabolism, molecular biology, cell biology, catalysis, substrate binding, enzymatic activity, biochemical pathway, protein function, reaction rate, active site"
"Receptor (extracellular, signalling)","extracellular receptor, signaling receptor, cell surface receptor, ligand binding, protein, molecule, signal transduction, membrane receptor, extracellular domain, immunology, cell signaling, receptor activation, molecular signaling, communication, transmembrane receptor"
"Ion channel (voltage-gated, closed)","ion channel, voltage gated ion channel, ion, channel, closed channel, closed state, membrane channel, ion transport, channel gating, resting state, cell membrane, electrophysiology, sodium channel, potassium channel, calcium channel, ion flux, signal transduction, neurobiology, channel schematic"
"Ion channel (voltage-gated, open)","ion channel, voltage gated ion channel, ion, channel, open, open channel, open state, membrane channel, ion transport, channel gating, depolarization, cell membrane, electrophysiology, sodium channel, potassium channel, calcium channel, ion flux, signal transduction, neurobiology, channel schematic"
