Root name;Tags;;;;;;;
Muscle cells (smooth);smooth muscle cells, myocytes, smooth muscle, involuntary muscle, spindle-shaped cells, tissue, visceral muscle, non-striated muscle, muscle anatomy, muscle cells, contractile cells, vascular smooth muscle, gastrointestinal muscle, muscle physiology, human, cell, cells;;;;;;;
Oligodendrocyte (myelin sheets);oligodendrocyte, myelin sheath, glial cell, central nervous system, myelination, neuron support cell, axon insulation, neuroglia, brain cell, spinal cord cell, white matter, nervous tissue, neuroscience, neurobiology, neurology, multiple sclerosis, parkinson, neuroimmunology, cell, cells;;;;;;;
Sperm cell;sperm cell, spermatozoon, male gamete, reproductive cell, human sperm, fertilization, fertilisation, sperm anatomy, flagellum, acrosome, reproductive, male fertility, gametogenesis, human reproduction, fertility, embryology, human, cell, cells;;;;;;;
Stem cell (3D);stem cell, 3D, undifferentiated cell, pluripotent stem cell, regenerative medicine, cell differentiation, self-renewal, developmental biology, cell therapy, progenitor cell, tissue engineering, CRISPR, organoid, cell, cells;;;;;;;
Bacteriophage;bacteriophage, phage, bacterial virus, virus infecting bacteria, phage particle, viral capsid, tail fibers, microbiology, virology, bacterial infection, phage therapy, molecular biology, viral structure, pathogen, vector, biotechnology;;;;;;;
Virus (helical);helical virus, viral capsid, helical capsid, virus particle, virion, viral structure, virology, infectious agent, RNA virus, nucleocapsid, viral genome, microbiology, pathogen, vector, CRISPR, biotechnology;;;;;;;
Virus (polyhedral);polyhedral virus, icosahedral virus, viral capsid, icosahedral capsid, virus particle, virion, viral structure, virology, infectious agent, viral genome, capsomeres, microbiology, pathogen, adenovirus, capsid, biotechnology, CRISPR, knockdown, siRNA, knockout, transduction, genome editing;;;;;;;
Cas9 complex (2D);Cas9 complex, Cas9, CRISPR Cas9, gene editing, 2D, Cas9 protein, guide RNA, genome editing, CRISPR system, DNA cleavage, ribonucleoprotein complex, genetic engineering, molecular biology, biotechnology, targeted DNA editing;;;;;;;
Cas9 complex (3D);Cas9 complex, Cas9, CRISPR Cas9, gene editing, 3D, Cas9 protein, guide RNA, genome editing, CRISPR system, DNA cleavage, ribonucleoprotein complex, genetic engineering, molecular biology, biotechnology, targeted DNA editing;;;;;;;
Lipid nanoparticle;lipid nanoparticle, LNP, drug delivery system, mRNA delivery, nucleic acid delivery, nanomedicine, lipid carrier, nanoparticle formulation, vaccine delivery, gene therapy, vector, pharmaceutical technology, targeted delivery, biotechnology, molecular medicine;;;;;;;
Liposome;liposome, lipid vesicle, phospholipid bilayer, drug delivery system, spherical vesicle, nanocarrier, lipid membrane, encapsulation, pharmaceutical delivery, nanomedicine, membrane model, vec targeted drug delivery, biotechnology, molecular medicine;;;;;;;
Plasmid vector;plasmid, vector, cloning vector, circular DNA, genetic engineering, recombinant DNA, gene cloning, molecular biology, expression vector, bacterial plasmid, biotechnology, DNA construct, DNA, selectable marker, origin of replication, gene delivery;;;;;;;
Petri dish (empty);empty petri dish, petri dish, petri plate, laboratory dish, microbiology equipment, sterile culture dish, plastic petri dish, glass petri dish, cell culture dish, empty, plate, lab dish, laboratory container, culture plate, scientific equipment, microbiology laboratory, sample dish, laboratory equipment, consumables, lab equipment;;;;;;;
Petri dish (superior, empty);empty petri dish, petri dish, petri plate, superior, laboratory dish, top view, microbiology equipment, sterile culture dish, plastic petri dish, glass petri dish, cell culture dish, empty, plate, lab dish, laboratory container, culture plate, scientific equipment, microbiology laboratory, sample dish, laboratory equipment, consumables, lab equipment;;;;;;;
Petri dish (agar);agar petri dish, agar plate, culture plate, solid growth medium, microbiology dish, bacterial culture plate, sterile agar, petri plate, microbial growth medium, laboratory culture, microbiology equipment, media plate, bacterial cultivation, biomedical illustration, laboratory equipment, consumables, lab equipment;;;;;;;
Petri dish (blood agar);blood agar plate, blood agar Petri dish, microbiology culture plate, differential medium, enriched medium, bacterial culture, hemolysis, clinical microbiology, diagnostic culture, microbial growth, petri plate, laboratory testing, pathogen identification, testing, culture medium;;;;;;;
Petri dish (colonies, agar);bacterial colonies, agar plate, colony growth, petri dish culture, microbial culture, bacterial culture plate, colony morphology, microbiology experiment, cultured bacteria, solid growth medium, microbial isolation, plate culture, laboratory microbiology, bacterial cultivation;;;;;;;
Petri dish (colonies, blood agar);blood agar colonies, bacterial colonies, blood agar plate, hemolysis, clinical microbiology, bacterial culture, colony morphology, diagnostic culture, pathogen identification, petri dish culture, differential medium, microbial growth, laboratory testing, microbiology experiment;;;;;;;
Petri dish (streak plate, agar);streak plate, agar streak plate, streaked agar plate, Petri dish streak, inoculation streak, microbiology streaking, bacterial streak culture, isolation streak, quadrant streak, agar plate, bacterial culture, microbiology culture, solid growth medium, microbial isolation, colony isolation, sterile technique, inoculating loop, laboratory microbiology, culture plate, microbiology equipment;;;;;;;
Petri dish (streak plate, blood agar);blood agar streak plate, streaked blood agar plate, blood agar Petri dish, inoculation streak, bacterial streak culture, isolation streak, quadrant streak, blood agar plate, bacterial culture, clinical microbiology, differential medium, enriched medium, hemolysis testing, pathogen identification, microbial isolation, inoculating loop, sterile technique, diagnostic culture, laboratory testing, microbiology experiment;;;;;;;
Petri dish (superior, colonies, agar);agar plate, bacterial colonies, colony growth, superior view, top view, Petri dish culture, colony morphology, cultured bacteria, microbial culture, solid growth medium, microbiology experiment, bacterial cultivation, microbial isolation, culture plate, laboratory microbiology, agar culture, microbiology equipment, laboratory equipment, consumables, lab equipment;;;;;;;
Petri dish (superior, colonies, blood agar);blood agar colonies, blood agar plate, superior view, top view, bacterial colonies, hemolysis, clinical microbiology, colony morphology, bacterial culture, diagnostic culture, pathogen identification, microbial growth, differential medium, enriched medium, Petri dish culture, microbiology experiment, laboratory testing, culture plate, microbiology equipment, laboratory equipment;;;;;;;
Petri dish (superior, streak plate, agar);streak plate, agar streak plate, streaked agar plate, superior view, top view, Petri dish streak, inoculation streak, microbiology streaking, bacterial streak culture, isolation streak, quadrant streak, agar plate, microbial isolation, colony isolation, sterile technique, inoculating loop, culture plate, laboratory microbiology, microbiology equipment, laboratory equipment;;;;;;;
Petri dish (superior, streak plate, blood agar);blood agar streak plate, streaked blood agar plate, superior view, top view, blood agar Petri dish, inoculation streak, bacterial streak culture, isolation streak, quadrant streak, clinical microbiology, differential medium, enriched medium, hemolysis testing, pathogen identification, microbial isolation, sterile technique, inoculating loop, diagnostic culture, laboratory testing, microbiology equipment;;;;;;;
Cancer cell;cancer cell, tumor cell, uncontrolled proliferation, cell division, oncology, mutation, malignant, cell, biology, disease, pathology;;;;;;;
Blood vessel;blood vessel, vascular anatomy, circulatory system, artery, vein, capillary, vascular tissue, blood circulation, vessel wall, endothelium, lumen, cardiovascular system, smooth muscle layer,;;;;;;;
